"Mean_Minor","Mean_Round","SD_Round","Mean_variance_R","SD_median_R","SD_inertia_R","Mean_kurtosis_G","SD_variance_G","SD_kurtosis_G","SD_HGLRE_G","SD_SRHGLE_G","SD_LRHGLE_G","Mean_IDM_B","SD_entropy_B","SD_haraCorr_B","SD_IDM_B","SD_IDM_HSV","Mean_GLN_Lab","Mean_LGLRE_Lab","Mean_SRLGLE_Lab","Mean_LRLGLE_Lab","Mean_GLN_Luv","Mean_LGLRE_Luv","Mean_SRLGLE_Luv","Mean_LRLGLE_Luv","Mean_GLN_HE","Mean_skewness_BR","Mean_correlation_BR","Class"
23.80726235,0.614182099,0.17547802,680.9816432,32.46482949,146.9805753,-0.058513926,259.661535,0.766863733,2488.546261,2488.546261,2488.546261,0.103910752,0.561903815,26587188.97,0.015790146,0.016021824,13.40942298,0.001645143,0.001645143,0.001645143,13.40942298,0.001645143,0.001645143,0.001645143,17.42013335,0.032829475,-2.41e-08,"DCIS"
22.13059879,0.671799396,0.140131156,967.7569548,23.30216231,136.889921,-0.068012537,231.3794928,0.708904805,1823.900745,1823.900745,1823.900745,0.086578985,0.53080234,38179769.54,0.012248878,0.01250547,8.63214232,0.001041427,0.001041427,0.001041427,8.63214232,0.001041427,0.001041427,0.001041427,10.61087589,0.815367796,1.06e-05,"DCIS"
22.52919062,0.643981651,0.15241255,855.1365034,25.52464865,125.0999559,-0.226594936,304.8226027,0.579898375,3137.093936,3137.093936,3137.093936,0.093363719,0.606309974,42113849.47,0.015252071,0.01561148,9.976475553,0.001248937,0.001248937,0.001248937,9.976475553,0.001248937,0.001248937,0.001248937,12.0806646,0.63802541,1.43e-05,"DCIS"
23.30343486,0.649838028,0.158026325,927.0392324,20.91955783,104.594399,-0.514245507,337.0726968,0.510160489,2028.520488,2028.520488,2028.520488,0.099382135,0.542275016,39816655.23,0.016158593,0.018025246,10.08756847,0.001297173,0.001297173,0.001297173,10.08756847,0.001297173,0.001297173,0.001297173,11.74175748,0.337996831,4.04e-06,"DCIS"
21.27869001,0.675384201,0.140388659,856.8002507,23.31060419,182.2845528,-0.361991689,307.3423265,0.416271108,2402.933161,2402.933161,2402.933161,0.073590417,0.58002304,37991877.29,0.015925283,0.016349908,7.438958801,0.000869173,0.000869173,0.000869173,7.438958801,0.000869173,0.000869173,0.000869173,9.591185294,0.109191607,2.48e-06,"DCIS"
20.57931639,0.607677049,0.195111561,963.2517736,27.66409592,256.936573,0.017647728,440.2465753,0.786837032,3224.184916,3224.184916,3224.184916,0.089207628,0.555421759,44258532.05,0.018913288,0.019567055,8.69355605,0.001409815,0.001409815,0.001409815,8.69355605,0.001409815,0.001409815,0.001409815,10.85969193,0.129017587,1.07e-06,"DCIS"
21.4278742,0.654995736,0.162905287,776.5175231,25.65912278,135.2581272,-0.344115137,311.1786093,0.460380746,2526.233614,2526.233614,2526.233614,0.083527097,0.569942899,39704264.9,0.013771983,0.014091677,8.111524466,0.001388532,0.001388532,0.001388532,8.111524466,0.001388532,0.001388532,0.001388532,10.20547246,0.624588568,1.5e-05,"DCIS"
20.89603085,0.665868895,0.158624421,966.4056817,24.82475737,186.776764,-0.083836907,325.6173582,0.740703208,1947.441529,1947.441529,1947.441529,0.096025533,0.496392471,32649763.48,0.01623259,0.016319111,8.522284356,0.00230545,0.00230545,0.00230545,8.522284356,0.00230545,0.00230545,0.00230545,10.42137601,0.295684046,1.75e-06,"DCIS"
20.91634259,0.675155864,0.147660861,936.2162969,22.47415165,156.1061282,-0.242588554,265.9463691,0.605782794,1833.737851,1833.737851,1833.737851,0.090763084,0.446671894,27862728.05,0.012723574,0.012962849,7.777271762,0.001119999,0.001119999,0.001119999,7.777271762,0.001119999,0.001119999,0.001119999,9.357508114,0.093344359,1.08e-06,"UDH"
23.56800306,0.640257274,0.161687083,818.1926184,27.00676401,559.7792997,0.180396999,451.3992612,0.842676526,3747.620172,3747.620172,3747.620172,0.097642895,0.537860205,35257464.16,0.015643118,0.01671453,11.29758995,0.001328069,0.001328069,0.001328069,11.29758995,0.001328069,0.001328069,0.001328069,14.54759994,0.034373129,3.83e-10,"DCIS"
